P,G(i),H_sun,T2m,WS10m,Int,hora,mes,Valor probable fut
0.0,0.0,0.0,9.16,3.66,0.0,7,1,0.0
0.0,0.0,0.0,9.22,3.79,0.0,8,1,285.7
180.53,223.23,9.33,9.38,3.86,0.0,9,1,164.28
87.37,117.83,16.75,10.29,3.93,0.0,10,1,528.23
332.31,393.09,22.2,11.02,4.97,0.0,11,1,156.55
110.21,144.72,25.16,11.6,5.93,0.0,12,1,537.76
550.7,648.85,25.25,11.68,5.59,0.0,13,1,171.89
137.54,175.43,22.47,11.63,5.38,0.0,14,1,68.3
254.62,305.53,17.16,11.54,5.38,0.0,15,1,117.64
51.58,76.53,9.84,11.38,4.76,0.0,16,1,0.0
0.0,0.0,0.0,11.0,4.28,0.0,17,1,0.0
0.0,0.0,0.0,10.64,4.0,0.0,18,1,0.0
0.0,0.0,0.0,10.25,4.34,0.0,19,1,0.0
0.0,0.0,0.0,10.22,4.21,0.0,20,1,0.0
0.0,0.0,0.0,10.22,4.07,0.0,21,1,0.0
0.0,0.0,0.0,10.3,4.07,0.0,22,1,0.0
0.0,0.0,0.0,10.39,3.93,0.0,23,1,0.0
0.0,0.0,0.0,10.32,3.72,0.0,0,1,0.0
0.0,0.0,0.0,10.04,3.72,0.0,1,1,0.0
0.0,0.0,0.0,10.07,3.93,0.0,2,1,0.0
0.0,0.0,0.0,10.02,4.07,0.0,3,1,0.0
0.0,0.0,0.0,10.11,4.07,0.0,4,1,0.0
0.0,0.0,0.0,10.03,4.28,0.0,5,1,0.0
0.0,0.0,0.0,10.06,4.48,0.0,6,1,0.0
0.0,0.0,0.0,10.03,4.69,0.0,7,1,0.0
0.0,0.0,0.0,9.99,4.34,0.0,8,1,180.53
285.7,343.9,9.44,10.2,4.55,0.0,9,1,87.37
164.28,204.26,16.88,10.89,4.83,0.0,10,1,332.31
219.4,266.44,22.36,11.72,6.14,0.0,11,1,110.21
388.16,459.6,25.34,12.11,5.1,0.0,12,1,550.7
254.96,308.2,25.45,12.75,5.79,0.0,13,1,301.7
225.19,273.91,22.68,12.6,6.28,0.0,14,1,286.55
195.48,239.17,17.36,11.86,6.97,0.0,15,1,4.03
64.84,91.83,10.04,10.7,6.83,0.0,16,1,66.36
0.0,0.0,0.0,9.5,7.03,0.0,17,1,0.0
0.0,0.0,0.0,8.32,6.76,0.0,18,1,0.0
0.0,0.0,0.0,8.04,6.55,0.0,19,1,0.0
0.0,0.0,0.0,7.43,6.76,0.0,20,1,0.0
0.0,0.0,0.0,6.96,6.83,0.0,21,1,0.0
0.0,0.0,0.0,6.57,6.97,0.0,22,1,0.0
0.0,0.0,0.0,6.25,7.17,0.0,23,1,0.0
0.0,0.0,0.0,6.02,7.31,0.0,0,1,0.0
0.0,0.0,0.0,5.82,6.97,0.0,1,1,0.0
0.0,0.0,0.0,5.63,6.48,0.0,2,1,0.0
0.0,0.0,0.0,5.51,6.21,0.0,3,1,0.0
0.0,0.0,0.0,5.5,6.07,0.0,4,1,0.0
0.0,0.0,0.0,5.56,6.14,0.0,5,1,0.0
0.0,0.0,0.0,5.63,6.28,0.0,6,1,18.26
0.0,0.0,0.0,6.01,6.69,0.0,7,1,69.72
0.0,0.0,0.0,6.03,6.34,0.0,8,1,316.98
289.61,341.49,9.56,6.28,5.45,0.0,9,1,338.74
503.49,577.39,17.03,6.89,6.34,0.0,10,1,565.14
623.51,715.49,22.53,7.35,7.17,0.0,11,1,617.26
673.19,775.42,25.53,7.57,7.24,0.0,12,1,623.88
715.95,825.48,25.66,7.65,7.59,0.0,13,1,426.66
649.59,744.83,22.89,7.53,7.79,0.0,14,1,359.37
512.76,585.92,17.58,7.23,7.72,0.0,15,1,311.56
267.09,314.68,10.25,6.82,7.72,0.0,16,1,5.49
0.0,0.0,0.0,6.16,7.59,0.0,17,1,0.0
0.0,0.0,0.0,5.53,7.31,0.0,18,1,0.0
0.0,0.0,0.0,5.5,7.1,0.0,19,1,0.0
0.0,0.0,0.0,5.21,6.83,0.0,20,1,0.0
0.0,0.0,0.0,5.11,6.41,0.0,21,1,0.0
0.0,0.0,0.0,5.04,5.93,0.0,22,1,0.0
0.0,0.0,0.0,4.94,5.38,0.0,23,1,0.0
0.0,0.0,0.0,4.8,5.66,0.0,0,1,0.0
0.0,0.0,0.0,4.8,4.69,0.0,1,1,0.0
